timestamp,occupied_chairs,free_chairs,occupancy_rate,patient_position
2026-06-17 14:56:18,16,9,64.0,17
2026-06-17 14:57:53,10,15,40.0,11
2026-06-17 14:58:03,18,7,72.0,19
2026-06-17 14:58:06,15,10,60.0,16
2026-06-17 14:58:09,11,14,44.0,12
2026-06-17 14:58:10,14,11,56.0,15
2026-06-17 14:58:11,14,11,56.0,15
2026-06-17 14:58:12,12,13,48.0,13
2026-06-17 14:58:13,13,12,52.0,14
2026-06-17 14:58:15,17,8,68.0,18
2026-06-17 14:58:16,14,11,56.0,15
2026-06-17 14:58:38,15,10,60.0,16
2026-06-17 14:58:40,12,13,48.0,13
2026-06-17 14:58:40,14,11,56.0,15
2026-06-17 14:58:41,10,15,40.0,11
2026-06-17 14:58:42,11,14,44.0,12
2026-06-17 14:58:43,12,13,48.0,13
2026-06-17 16:17:55,18,7,72.0,19
2026-06-17 16:17:57,12,13,48.0,13
2026-06-17 16:18:04,11,14,44.0,12
2026-06-17 16:18:05,15,10,60.0,16
2026-06-17 16:18:06,15,10,60.0,16
2026-06-17 16:18:07,15,10,60.0,16
2026-06-17 16:18:08,14,11,56.0,15
2026-06-17 16:18:09,15,10,60.0,16
2026-06-17 16:18:09,10,15,40.0,11
2026-06-17 16:18:10,10,15,40.0,11
2026-06-17 16:18:11,12,13,48.0,13
2026-06-17 16:18:12,16,9,64.0,17
2026-06-17 16:18:13,12,13,48.0,13
